start_time_ns,duration,label,metadata
2039498087710111,76380,TX,"size_bytes=193|tx=716d720569ca26b43d5f9f1a9b28145b232dc00edfcbbcd7b398bcdfd47d699a"
2039498087790231,198000,TX,"size_bytes=576|tx=ca60d17255895057344cdb2d5ebc12402ec668af7377bc48049104c6c8a6f340"
2039498087992391,137260,TX,"size_bytes=288|tx=8ab26392f2463d02fc87f04f8af6b031fb82a23f9bea18d2d075d07be9ef59fa"
2039498088135021,93180,TX,"size_bytes=222|tx=b48652094e722372be1b28e04d15778ee07dedf6488d9e01362f5ffdfb2fa6e6"
2039498088231611,138460,TX,"size_bytes=375|tx=9b1075be746120ae45110278c3df7e8dbc09a504b5daa12edaa90ead7de46ace"
2039498100136902,21316591,TX,"size_bytes=41346|tx=1c83fc30cc612b6ec66435e97abca5883ba73c24f82711b8a8ff5f0c2af8d383"
2039498121468643,115690,TX,"size_bytes=1008|tx=65506e9d740627c87663bb00ad9f922108a726cde9984c950aefe7a5af748791"
2039498121592413,449000,TX,"size_bytes=942|tx=e5025f45e4419cffe4173e6208397d634b14a1e8fc871f92e1dfdf57b436ee57"
2039498122046733,87690,TX,"size_bytes=205|tx=43dae465399b9dc51973697424f2654c5b5dfce788a29113816ed9eb4831b709"
2039498122137983,222900,TX,"size_bytes=484|tx=f320e6b8ef3ef83f61dbabbcd0385dbdc570b070ba4f52eedbe295fe5e8b6379"
2039498122366233,130080,TX,"size_bytes=327|tx=cce38b16fa65ed26924eb18e477cb5563648b88e04e1da915ea5878c3ca0d090"
2039498122500453,126660,TX,"size_bytes=332|tx=592492346273785e573230b1e06e5861b50863bc5d00a991d18f59cd4848c237"
2039501672194507,85570,VERSION,""
2039501672373797,54730,VERACK,""
2039501918175746,7550,ADDRV2,""
2039502162981444,30430,GH,""
2039502163026994,10380,HEADERS,"size_bytes=82"
2039502373129650,56260,INV,"size_bytes=757"
2039502380873100,146620,TX,"size_bytes=222|tx=91b2c41e1a5206709ec4619ec58108d6ec580e9220546121845e94032129558c"
